food_id,original_name,display_name,dish_name_vi,clean_category,food_group_vi,meal_role,recommended_serving_g,serving_display,kcal_per_100g_clean,protein_per_100g_clean,fat_per_100g_clean,carbs_per_100g_clean,kcal_per_serving_clean,protein_per_serving_clean,fat_per_serving_clean,carbs_per_serving_clean,menu_eligible,quality_flags,image_url,image_alt_vi,image_source_type,image_verified,image_quality_note,search_keywords
326196,"kale, frozen, cooked, boiled, drained, without salt","Cải xoăn (chín, luộc)","Cải xoăn (chín, luộc)",vegetable,Rau củ,vegetable_fruit,182,1 bát rau,43.85,2.94,1.21,5.3,79.8,5.4,2.2,9.6,1,calories_column_not_per_100g,/images/placeholders/vegetable.svg,"Ảnh minh họa món Cải xoăn (chín, luộc)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Cải xoăn (chín, luộc)"
326458,"carrots, frozen, unprepared (includes foods for usda's food distribution program)",Cà rốt,Cà rốt,vegetable,Rau củ,vegetable_fruit,204,1 bát rau,39.15,0.81,0.47,7.92,79.9,1.7,1.0,16.2,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Cà rốt,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Cà rốt
326698,"mustard, prepared, yellow",Mù tạt vàng,Mù tạt vàng,other,Khác,other,150,1 phần vừa,68.62,4.25,3.38,5.3,102.9,6.4,5.1,8.0,0,calories_column_not_per_100g,/images/placeholders/food-default.svg,Ảnh minh họa món Mù tạt vàng,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Mù tạt vàng
326905,"figs, dried, uncooked",Sung khô,Sung khô,fruit,Trái cây,vegetable_fruit,100,1 phần trái cây,277.08,3.3,0.92,63.9,277.1,3.3,0.9,63.9,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Sung khô,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sung khô
327046,"kiwifruit, green, raw",Kiwi xanh (sống),Kiwi xanh (sống),fruit,Trái cây,vegetable_fruit,156,1 phần trái cây,64.2,1.06,0.44,14.0,100.2,1.7,0.7,21.8,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Kiwi xanh (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Kiwi xanh (sống)
327198,"melons, cantaloupe, raw",Dưa hấu (sống),Dưa hấu (sống),fruit,Trái cây,vegetable_fruit,180,1 phần trái cây,37.54,0.82,0.18,8.16,67.6,1.5,0.3,14.7,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Dưa hấu (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Dưa hấu (sống)
327357,"nectarines, raw",Xuân đào (sống),Xuân đào (sống),other,Khác,other,150,1 phần vừa,43.48,1.06,0.28,9.18,65.2,1.6,0.4,13.8,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/food-default.svg,Ảnh minh họa món Xuân đào (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Xuân đào (sống)
327501,"oranges, raw, navels (includes foods for usda's food distribution program)",Cam rốn (sống),Cam rốn (sống),fruit,Trái cây,vegetable_fruit,180,1 phần trái cây,52.19,0.91,0.15,11.8,93.9,1.6,0.3,21.2,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Cam rốn (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Cam rốn (sống)
327699,"strawberries, raw",Dâu tây (sống),Dâu tây (sống),fruit,Trái cây,vegetable_fruit,180,1 phần trái cây,35.06,0.64,0.22,7.63,63.1,1.2,0.4,13.7,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Dâu tây (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Dâu tây (sống)
327923,"lettuce, cos or romaine, raw",Xà lách romaine (sống),Xà lách romaine (sống),vegetable,Rau củ,vegetable_fruit,250,1 bát rau,20.26,1.24,0.26,3.24,50.6,3.1,0.7,8.1,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Xà lách romaine (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Xà lách romaine (sống)
328841,"cheese, cottage, lowfat, 2% milkfat",Sữa tươi (ít béo),Sữa tươi (ít béo),dairy,Sữa,energy_side,220,1 ly/hộp,81.94,11.0,2.3,4.31,180.3,24.2,5.1,9.5,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa tươi (ít béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa tươi (ít béo)
329370,"cheese, mozzarella, low moisture, part-skim",Phô mai mozzarella,Phô mai mozzarella,dairy,Sữa,energy_side,150,1 ly/hộp,296.16,23.7,20.4,4.44,444.2,35.5,30.6,6.7,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Phô mai mozzarella,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Phô mai mozzarella
329830,"cheese, dry white, queso seco",Phô mai khô,Phô mai khô,dairy,Sữa,energy_side,150,1 ly/hộp,324.98,24.5,24.3,2.07,487.5,36.8,36.5,3.1,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Phô mai khô,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Phô mai khô
330137,"yogurt, greek, plain, nonfat",Sữa chua Hy Lạp (không béo),Sữa chua Hy Lạp (không béo),dairy,Sữa,energy_side,250,1 ly/hộp,59.09,10.3,0.37,3.64,147.7,25.8,0.9,9.1,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa chua Hy Lạp (không béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa chua Hy Lạp (không béo)
330415,"yogurt, greek, strawberry, nonfat",Sữa chua Hy Lạp dâu (không béo),Sữa chua Hy Lạp dâu (không béo),dairy,Sữa,energy_side,218,1 ly/hộp,82.39,8.06,0.15,12.2,179.6,17.6,0.3,26.6,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa chua Hy Lạp dâu (không béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa chua Hy Lạp dâu (không béo)
330869,"turkey, ground, 93% lean, 7% fat, pan-broiled crumbles","Gà tây xay (nạc, xay)","Gà tây xay (nạc, xay)",protein_meat,Đạm - Thịt,protein,103,1 phần thịt vừa,212.8,27.1,11.6,0.0,219.2,27.9,11.9,0.0,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,"Ảnh minh họa món Gà tây xay (nạc, xay)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Gà tây xay (nạc, xay)"
331897,"chicken, broilers or fryers, drumstick, meat only, cooked, braised",Thịt gà đùi (chín),Thịt gà đùi (chín),protein_meat,Đạm - Thịt,protein,148,1 phần thịt vừa,149.15,23.9,5.95,0.0,220.7,35.4,8.8,0.0,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,Ảnh minh họa món Thịt gà đùi (chín),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Thịt gà đùi (chín)
331960,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised","Ức gà (chín, ức, không da, không xương)","Ức gà (chín, ức, không da, không xương)",protein_meat,Đạm - Thịt,protein,140,1 phần thịt vừa,157.56,32.1,3.24,0.0,220.6,44.9,4.5,0.0,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,"Ảnh minh họa món Ức gà (chín, ức, không da, không xương)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Ức gà (chín, ức, không da, không xương)"
332282,"sauce, pasta, spaghetti/marinara, ready-to-serve",Sốt marinara,Sốt marinara,starch_grain,Tinh bột - Ngũ cốc,starch,220,1 chén/bát vừa,51.16,1.41,1.48,8.05,112.6,3.1,3.3,17.7,1,calories_column_not_per_100g;normalized_pasta_as_starch;normalized_pasta_as_starch_final,/images/placeholders/starch-grain.svg,Ảnh minh họa món Sốt marinara,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sốt marinara
332397,"ham, sliced, pre-packaged, deli meat (96%fat free, water added)",Giăm bông,Giăm bông,protein_meat,Đạm - Thịt,protein,150,1 phần thịt vừa,101.45,16.7,3.73,0.27,152.2,25.1,5.6,0.4,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,Ảnh minh họa món Giăm bông,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Giăm bông
332597,"pears, raw, bartlett (includes foods for usda's food distribution program)",Lê Bartlett (sống),Lê Bartlett (sống),fruit,Trái cây,vegetable_fruit,158,1 phần trái cây,63.36,0.38,0.16,15.1,100.1,0.6,0.3,23.9,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Lê Bartlett (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Lê Bartlett (sống)
332791,"olives, green, manzanilla, stuffed with pimiento",Ô liu xanh nhồi pimiento,Ô liu xanh nhồi pimiento,other,Khác,other,128,1 phần vừa,140.54,1.15,12.9,4.96,179.9,1.5,16.5,6.3,0,calories_column_not_per_100g,/images/placeholders/food-default.svg,Ảnh minh họa món Ô liu xanh nhồi pimiento,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Ô liu xanh nhồi pimiento
332864,"sausage, pork, chorizo, link or ground, cooked, pan-fried","Xúc xích chorizo (chín, xay)","Xúc xích chorizo (chín, xay)",fried_processed,Món chiên/chế biến sẵn,limited_or_excluded,59,1 phần nhỏ,340.62,19.3,28.1,2.63,201.0,11.4,16.6,1.6,0,dessert_or_junk;calories_column_not_per_100g;processed_meat_limit_for_eat_clean,/images/placeholders/food-default.svg,"Ảnh minh họa món Xúc xích chorizo (chín, xay)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Xúc xích chorizo (chín, xay)"
334462,"restaurant, chinese, sweet and sour pork",Thịt chua ngọt,Thịt chua ngọt,protein_meat,Đạm - Thịt,protein,90,1 phần thịt vừa,259.92,8.88,13.6,25.5,233.9,8.0,12.2,22.9,0,brand_or_restaurant;calories_column_not_per_100g,/images/placeholders/protein-meat.svg,Ảnh minh họa món Thịt chua ngọt,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Thịt chua ngọt
334536,"restaurant, chinese, fried rice, without meat",Cơm chiên chay ,Cơm chiên chay,fried_processed,Món chiên/chế biến sẵn,limited_or_excluded,100,1 phần nhỏ,174.07,3.84,3.19,32.5,174.1,3.8,3.2,32.5,0,brand_or_restaurant;dessert_or_junk;calories_column_not_per_100g,/images/placeholders/food-default.svg,Ảnh minh họa món Cơm chiên chay,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Cơm chiên chay
334628,"restaurant, latino, tamale, pork",Tamale thịt lợn,Tamale thịt lợn,protein_meat,Đạm - Thịt,protein,126,1 phần thịt vừa,174.08,7.38,9.04,15.8,219.3,9.3,11.4,19.9,0,brand_or_restaurant;calories_column_not_per_100g,/images/placeholders/protein-meat.svg,Ảnh minh họa món Tamale thịt lợn,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Tamale thịt lợn
334720,"restaurant, latino, pupusas con frijoles (pupusas, bean)",Pupusas đậu,Pupusas đậu,plant_protein,Đạm thực vật,protein,80,1 bát/phần vừa,229.45,5.59,9.01,31.5,183.6,4.5,7.2,25.2,0,brand_or_restaurant;calories_column_not_per_100g,/images/placeholders/protein-plant.svg,Ảnh minh họa món Pupusas đậu,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Pupusas đậu
334897,"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted","Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)","Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",protein_meat,Đạm - Thịt,protein,131,1 phần thịt vừa,168.04,27.7,6.36,0.0,220.1,36.3,8.3,0.0,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,"Ảnh minh họa món Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)"
335061,"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","Bít tết T-bone (chín, nướng, nạc)","Bít tết T-bone (chín, nướng, nạc)",protein_meat,Đạm - Thịt,protein,104,1 phần thịt vừa,211.8,27.3,11.4,0.0,220.3,28.4,11.9,0.0,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,"Ảnh minh họa món Bít tết T-bone (chín, nướng, nạc)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Bít tết T-bone (chín, nướng, nạc)"
335240,"bread, whole-wheat, commercially prepared",Bánh mì nguyên hạt,Bánh mì nguyên hạt,starch_grain,Tinh bột - Ngũ cốc,starch,100,1 chén/bát vừa,253.55,12.3,3.55,43.1,253.6,12.3,3.5,43.1,1,calories_column_not_per_100g,/images/placeholders/starch-grain.svg,Ảnh minh họa món Bánh mì nguyên hạt,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Bánh mì nguyên hạt
746758,"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted","Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)","Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",protein_meat,Đạm - Thịt,protein,131,1 phần thịt vừa,168.04,27.7,6.36,0.0,220.1,36.3,8.3,0.0,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,"Ảnh minh họa món Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)"
746763,"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","Bò T-bone nướng (chín, nướng, nạc)","Bò T-bone nướng (chín, nướng, nạc)",protein_meat,Đạm - Thịt,protein,104,1 phần thịt vừa,211.8,27.3,11.4,0.0,220.3,28.4,11.9,0.0,1,calories_column_not_per_100g,/images/placeholders/protein-meat.svg,"Ảnh minh họa món Bò T-bone nướng (chín, nướng, nạc)",placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,"Bò T-bone nướng (chín, nướng, nạc)"
746764,"carrots, frozen, unprepared",Cà rốt đông lạnh,Cà rốt đông lạnh,vegetable,Rau củ,vegetable_fruit,204,1 bát rau,39.15,0.81,0.47,7.92,79.9,1.7,1.0,16.2,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Cà rốt đông lạnh,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Cà rốt đông lạnh
746765,"cheese, dry white, queso seco",Phô mai khô trắng,Phô mai khô trắng,dairy,Sữa,energy_side,150,1 ly/hộp,324.98,24.5,24.3,2.07,487.5,36.8,36.5,3.1,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Phô mai khô trắng,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Phô mai khô trắng
746766,"cheese, ricotta, whole milk",Phô mai ricotta,Phô mai ricotta,dairy,Sữa,energy_side,150,1 ly/hộp,157.68,7.81,11.0,6.86,236.5,11.7,16.5,10.3,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Phô mai ricotta,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Phô mai ricotta
746768,"figs, dried, uncooked",Sung khô,Sung khô,fruit,Trái cây,vegetable_fruit,100,1 phần trái cây,277.08,3.3,0.92,63.9,277.1,3.3,0.9,63.9,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Sung khô,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sung khô
746769,"lettuce, cos or romaine, raw",Rau xà lách romaine (sống),Rau xà lách romaine (sống),vegetable,Rau củ,vegetable_fruit,250,1 bát rau,20.26,1.24,0.26,3.24,50.6,3.1,0.7,8.1,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/vegetable.svg,Ảnh minh họa món Rau xà lách romaine (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Rau xà lách romaine (sống)
746770,"melons, cantaloupe, raw",Dưa đỏ (sống),Dưa đỏ (sống),fruit,Trái cây,vegetable_fruit,180,1 phần trái cây,37.54,0.82,0.18,8.16,67.6,1.5,0.3,14.7,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Dưa đỏ (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Dưa đỏ (sống)
746771,"oranges, raw, navels",Cam navel (sống),Cam navel (sống),fruit,Trái cây,vegetable_fruit,180,1 phần trái cây,52.19,0.91,0.15,11.8,93.9,1.6,0.3,21.2,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Cam navel (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Cam navel (sống)
746772,"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",Sữa ít béo (ít béo),Sữa ít béo (ít béo),dairy,Sữa,energy_side,250,1 ly/hộp,42.79,3.38,0.95,5.18,107.0,8.4,2.4,12.9,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa ít béo (ít béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa ít béo (ít béo)
746773,"pears, raw, bartlett",Lê Bartlett (sống),Lê Bartlett (sống),fruit,Trái cây,vegetable_fruit,158,1 phần trái cây,63.36,0.38,0.16,15.1,100.1,0.6,0.3,23.9,0,raw_ingredient;calories_column_not_per_100g,/images/placeholders/fruit.svg,Ảnh minh họa món Lê Bartlett (sống),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Lê Bartlett (sống)
746774,"restaurant, chinese, sweet and sour pork",Thịt chua ngọt,Thịt chua ngọt,protein_meat,Đạm - Thịt,protein,90,1 phần thịt vừa,259.92,8.88,13.6,25.5,233.9,8.0,12.2,22.9,0,brand_or_restaurant;calories_column_not_per_100g,/images/placeholders/protein-meat.svg,Ảnh minh họa món Thịt chua ngọt,placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Thịt chua ngọt
746776,"milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",Sữa không béo (không béo),Sữa không béo (không béo),dairy,Sữa,energy_side,250,1 ly/hộp,34.12,3.43,0.08,4.92,85.3,8.6,0.2,12.3,1,calories_column_not_per_100g;normalized_dairy,/images/placeholders/dairy.svg,Ảnh minh họa món Sữa không béo (không béo),placeholder,0,Ảnh minh họa theo nhóm thực phẩm; chưa phải ảnh thật từng món,Sữa không béo (không béo)
