food_id,name,calories,protein,fat,carbs,protein_ratio,fat_ratio,carb_ratio,category,display_name,type,original_display_name,dish_name_vi,clean_category,food_group_vi,preparation_method,is_raw_ingredient,is_generic_name,is_brand_or_restaurant,kcal_per_100g_clean,recommended_serving_g,serving_display,kcal_per_serving_clean,protein_per_serving_clean,fat_per_serving_clean,carbs_per_serving_clean,health_weight_gain_score,menu_eligible,quality_flags,image_search_query_vi,image_requirement
327198,"melons, cantaloupe, raw",87.5,0.82,0.18,8.16,0.037485714,0.018514286,0.3730285671653878,other,Dưa hấu (sống),balanced,Dưa hấu (sống),Dưa hấu (sống),fruit,Trái cây,sống,true,false,false,37.54,180,1 phần trái cây,67.6,1.5,0.3,14.7,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
327357,"nectarines, raw",101.0,1.06,0.28,9.18,0.041980198,0.024950495,0.3635643528359965,other,Xuân đào (sống),balanced,Xuân đào (sống),Xuân đào (sống),other,Khác,sống,true,false,false,43.48,150,1 phần vừa,65.2,1.6,0.4,13.8,35,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
327501,"oranges, raw, navels (includes foods for usda's food distribution program)",121.5,0.91,0.15,11.8,0.029958847,0.011111111,0.3884773630577995,fruit,Cam rốn (sống),balanced,Cam rốn (sống),Cam rốn (sống),fruit,Trái cây,sống,true,false,false,52.19,180,1 phần trái cây,93.9,1.6,0.3,21.2,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
327699,"strawberries, raw",81.5,0.64,0.22,7.63,0.031411043,0.024294478,0.3744785230125335,other,Dâu tây (sống),balanced,Dâu tây (sống),Dâu tây (sống),fruit,Trái cây,sống,true,false,false,35.06,180,1 phần trái cây,63.1,1.2,0.4,13.7,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
327923,"lettuce, cos or romaine, raw",43.5,1.24,0.26,3.24,0.114022986,0.053793102,0.2979310276337695,vegetable,Xà lách romaine (sống),balanced,Xà lách romaine (sống),Xà lách romaine (sống),vegetable,Rau củ,sống,true,false,false,20.26,250,1 bát rau,50.6,3.1,0.7,8.1,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
328841,"cheese, cottage, lowfat, 2% milkfat",218.0,11.0,2.3,4.31,0.2018348614594731,0.094954128,0.079082568,dairy,Sữa tươi (ít béo),balanced,Sữa tươi (ít béo),Sữa tươi (ít béo),dairy,Sữa,,false,false,false,81.94,220,1 ly/hộp,180.3,24.2,5.1,9.5,85,true,calories_column_not_per_100g,Sữa tươi (ít béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
329370,"cheese, mozzarella, low moisture, part-skim",769.0,23.7,20.4,4.44,0.1232769829346203,0.238751625,0.023094928,dairy,Phô mai mozzarella,high_calorie,Phô mai mozzarella,Phô mai mozzarella,dairy,Sữa,,false,false,false,296.16,150,1 ly/hộp,444.2,35.5,30.6,6.7,95,true,calories_column_not_per_100g,Phô mai mozzarella,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
329830,"cheese, dry white, queso seco",843.0,24.5,24.3,2.07,0.1162514826616233,0.2594306046744595,0.009822064,dairy,Phô mai khô,high_calorie,Phô mai khô,Phô mai khô,dairy,Sữa,,false,false,false,324.98,150,1 ly/hộp,487.5,36.8,36.5,3.1,95,true,calories_column_not_per_100g,Phô mai khô,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
330137,"yogurt, greek, plain, nonfat",158.5,10.3,0.37,3.64,0.2599369068773697,0.021009464,0.091861198,dairy,Sữa chua Hy Lạp (không béo),balanced,Sữa chua Hy Lạp (không béo),Sữa chua Hy Lạp (không béo),dairy,Sữa,,false,false,false,59.09,250,1 ly/hộp,147.7,25.8,0.9,9.1,85,true,calories_column_not_per_100g,Sữa chua Hy Lạp (không béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
330415,"yogurt, greek, strawberry, nonfat",215.0,8.06,0.15,12.2,0.1499534876746349,0.00627907,0.2269767431303407,dairy,Sữa chua Hy Lạp dâu (không béo),balanced,Sữa chua Hy Lạp dâu (không béo),Sữa chua Hy Lạp dâu (không béo),dairy,Sữa,sống,false,false,false,82.39,218,1 ly/hộp,179.6,17.6,0.3,26.6,85,true,calories_column_not_per_100g,Sữa chua Hy Lạp dâu (không béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
330869,"turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",571.0,27.1,11.6,0.0,0.1898423814538662,0.1828371275256792,0.0,meat,"Gà tây xay (nạc, xay)",high_calorie,"Gà tây xay (nạc, xay)","Gà tây xay (nạc, xay)",protein_meat,Đạm - Thịt,,false,false,false,212.8,103,1 phần thịt vừa,219.2,27.9,11.9,0.0,95,true,calories_column_not_per_100g,"Gà tây xay (nạc, xay)","Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
331897,"chicken, broilers or fryers, drumstick, meat only, cooked, braised",404.0,23.9,5.95,0.0,0.2366336627806097,0.1325495046224022,0.0,meat,Thịt gà đùi (chín),high_calorie,Thịt gà đùi (chín),Thịt gà đùi (chín),protein_meat,Đạm - Thịt,chín,false,false,false,149.15,148,1 phần thịt vừa,220.7,35.4,8.8,0.0,95,true,calories_column_not_per_100g,Thịt gà đùi (chín),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
331960,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",430.5,32.1,3.24,0.0,0.2982578390284371,0.067735191,0.0,meat,"Ức gà (chín, ức, không da, không xương)",high_calorie,"Ức gà (chín, ức, không da, không xương)","Ức gà (chín, ức, không da, không xương)",protein_meat,Đạm - Thịt,chín,false,false,false,157.56,140,1 phần thịt vừa,220.6,44.9,4.5,0.0,95,true,calories_column_not_per_100g,"Ức gà (chín, ức, không da, không xương)","Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
332282,"sauce, pasta, spaghetti/marinara, ready-to-serve",115.5,1.41,1.48,8.05,0.048831168,0.1153246743261933,0.278787876,grain,Sốt marinara,balanced,Sốt marinara,Sốt marinara,starch_grain,Tinh bột - Ngũ cốc,,false,false,false,51.16,220,1 chén/bát vừa,112.6,3.1,3.3,17.7,80,true,calories_column_not_per_100g,Sốt marinara,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
332397,"ham, sliced, pre-packaged, deli meat (96%fat free, water added)",274.5,16.7,3.73,0.27,0.2433515473830544,0.1222950815216936,0.003934426,other,Giăm bông,high_calorie,Giăm bông,Giăm bông,protein_meat,Đạm - Thịt,,false,false,false,101.45,150,1 phần thịt vừa,152.2,25.1,5.6,0.4,85,true,calories_column_not_per_100g,Giăm bông,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
332597,"pears, raw, bartlett (includes foods for usda's food distribution program)",147.5,0.38,0.16,15.1,0.010305085,0.009762712,0.4094915226475151,other,Lê Bartlett (sống),balanced,Lê Bartlett (sống),Lê Bartlett (sống),fruit,Trái cây,sống,true,false,false,63.36,158,1 phần trái cây,100.1,0.6,0.3,23.9,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
332791,"olives, green, manzanilla, stuffed with pimiento",336.5,1.15,12.9,4.96,0.013670134,0.3450222872361894,0.058959881,other,Ô liu xanh nhồi pimiento,high_calorie,Ô liu xanh nhồi pimiento,Ô liu xanh nhồi pimiento,other,Khác,,false,false,false,140.54,128,1 phần vừa,179.9,1.5,16.5,6.3,80,false,calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
332864,"sausage, pork, chorizo, link or ground, cooked, pan-fried",898.0,19.3,28.1,2.63,0.08596882,0.2816258348756951,0.011714922,meat,"Xúc xích chorizo (chín, xay)",high_calorie,"Xúc xích chorizo (chín, xay)","Xúc xích chorizo (chín, xay)",fried_processed,Món chiên/chế biến sẵn,áp chảo,false,false,false,340.62,59,1 phần nhỏ,201.0,11.4,16.6,1.6,50,false,dessert_or_junk;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
334462,"restaurant, chinese, sweet and sour pork",675.0,8.88,13.6,25.5,0.052622222,0.1813333330646913,0.1511111108872428,meat,Thịt chua ngọt,high_calorie,Thịt chua ngọt,Thịt chua ngọt,protein_meat,Đạm - Thịt,,false,false,true,259.92,90,1 phần thịt vừa,233.9,8.0,12.2,22.9,70,false,brand_or_restaurant;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
334536,"restaurant, chinese, fried rice, without meat",451.5,3.84,3.19,32.5,0.034019933,0.06358804,0.2879291245007107,grain,Cơm chiên chay ,high_calorie,Cơm chiên chay ,Cơm chiên chay,fried_processed,Món chiên/chế biến sẵn,chiên,false,false,true,174.07,100,1 phần nhỏ,174.1,3.8,3.2,32.5,20,false,brand_or_restaurant;dessert_or_junk;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
334628,"restaurant, latino, tamale, pork",451.0,7.38,9.04,15.8,0.065454545,0.1803991126820418,0.140133037,meat,Tamale thịt lợn,high_calorie,Tamale thịt lợn,Tamale thịt lợn,protein_meat,Đạm - Thịt,,false,false,true,174.08,126,1 phần thịt vừa,219.3,9.3,11.4,19.9,65,false,brand_or_restaurant;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
334720,"restaurant, latino, pupusas con frijoles (pupusas, bean)",594.0,5.59,9.01,31.5,0.037643098,0.136515151,0.2121212117641057,other,Pupusas đậu,high_calorie,Pupusas đậu,Pupusas đậu,plant_protein,Đạm thực vật,,false,false,true,229.45,80,1 bát/phần vừa,183.6,4.5,7.2,25.2,65,false,brand_or_restaurant;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
334897,"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",455.5,27.7,6.36,0.0,0.2432491761948426,0.125664105,0.0,meat,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",high_calorie,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)","Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",protein_meat,Đạm - Thịt,rang/nướng,false,false,false,168.04,131,1 phần thịt vừa,220.1,36.3,8.3,0.0,95,true,calories_column_not_per_100g,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)","Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
335061,"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",568.5,27.3,11.4,0.0,0.1920844323797987,0.1804749337194812,0.0,meat,"Bít tết T-bone (chín, nướng, nạc)",high_calorie,"Bít tết T-bone (chín, nướng, nạc)","Bít tết T-bone (chín, nướng, nạc)",protein_meat,Đạm - Thịt,nướng,false,false,false,211.8,104,1 phần thịt vừa,220.3,28.4,11.9,0.0,95,true,calories_column_not_per_100g,"Bít tết T-bone (chín, nướng, nạc)","Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
335240,"bread, whole-wheat, commercially prepared",657.0,12.3,3.55,43.1,0.074885845,0.048630137,0.2624048702246501,grain,Bánh mì nguyên hạt,high_calorie,Bánh mì nguyên hạt,Bánh mì nguyên hạt,starch_grain,Tinh bột - Ngũ cốc,,false,false,false,253.55,100,1 chén/bát vừa,253.6,12.3,3.5,43.1,95,true,calories_column_not_per_100g,Bánh mì nguyên hạt,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
746758,"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",455.5,27.7,6.36,0.0,0.2432491761948426,0.125664105,0.0,meat,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",high_calorie,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)","Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)",protein_meat,Đạm - Thịt,rang/nướng,false,false,false,168.04,131,1 phần thịt vừa,220.1,36.3,8.3,0.0,95,true,calories_column_not_per_100g,"Thịt bò thăn nướng (chín, quay/rang, nạc, không xương)","Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
746763,"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",568.5,27.3,11.4,0.0,0.1920844323797987,0.1804749337194812,0.0,meat,"Bò T-bone nướng (chín, nướng, nạc)",high_calorie,"Bò T-bone nướng (chín, nướng, nạc)","Bò T-bone nướng (chín, nướng, nạc)",protein_meat,Đạm - Thịt,nướng,false,false,false,211.8,104,1 phần thịt vừa,220.3,28.4,11.9,0.0,95,true,calories_column_not_per_100g,"Bò T-bone nướng (chín, nướng, nạc)","Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
746764,"carrots, frozen, unprepared",95.0,0.81,0.47,7.92,0.034105263,0.044526315,0.333473681,vegetable,Cà rốt đông lạnh,balanced,Cà rốt đông lạnh,Cà rốt đông lạnh,vegetable,Rau củ,,true,false,false,39.15,204,1 bát rau,79.9,1.7,1.0,16.2,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746765,"cheese, dry white, queso seco",843.0,24.5,24.3,2.07,0.1162514826616233,0.2594306046744595,0.009822064,dairy,Phô mai khô trắng,high_calorie,Phô mai khô trắng,Phô mai khô trắng,dairy,Sữa,,false,false,false,324.98,150,1 ly/hộp,487.5,36.8,36.5,3.1,95,true,calories_column_not_per_100g,Phô mai khô trắng,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
746766,"cheese, ricotta, whole milk",407.0,7.81,11.0,6.86,0.076756757,0.243243243,0.067420147,dairy,Phô mai ricotta,high_calorie,Phô mai ricotta,Phô mai ricotta,dairy,Sữa,,false,false,false,157.68,150,1 ly/hộp,236.5,11.7,16.5,10.3,90,true,calories_column_not_per_100g,Phô mai ricotta,"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
746768,"figs, dried, uncooked",644.5,3.3,0.92,63.9,0.020480993,0.012847168,0.396586501,other,Sung khô,high_calorie,Sung khô,Sung khô,fruit,Trái cây,chín,true,false,false,277.08,100,1 phần trái cây,277.1,3.3,0.9,63.9,55,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746769,"lettuce, cos or romaine, raw",43.5,1.24,0.26,3.24,0.114022986,0.053793102,0.2979310276337695,vegetable,Rau xà lách romaine (sống),balanced,Rau xà lách romaine (sống),Rau xà lách romaine (sống),vegetable,Rau củ,sống,true,false,false,20.26,250,1 bát rau,50.6,3.1,0.7,8.1,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746770,"melons, cantaloupe, raw",87.5,0.82,0.18,8.16,0.037485714,0.018514286,0.3730285671653878,other,Dưa đỏ (sống),balanced,Dưa đỏ (sống),Dưa đỏ (sống),fruit,Trái cây,sống,true,false,false,37.54,180,1 phần trái cây,67.6,1.5,0.3,14.7,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746771,"oranges, raw, navels",121.5,0.91,0.15,11.8,0.029958847,0.011111111,0.3884773630577995,fruit,Cam navel (sống),balanced,Cam navel (sống),Cam navel (sống),fruit,Trái cây,sống,true,false,false,52.19,180,1 phần trái cây,93.9,1.6,0.3,21.2,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746772,"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",111.0,3.38,0.95,5.18,0.1218018007044882,0.077027026,0.186666665,dairy,Sữa ít béo (ít béo),balanced,Sữa ít béo (ít béo),Sữa ít béo (ít béo),dairy,Sữa,,false,false,false,42.79,250,1 ly/hộp,107.0,8.4,2.4,12.9,80,true,calories_column_not_per_100g,Sữa ít béo (ít béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
746773,"pears, raw, bartlett",147.5,0.38,0.16,15.1,0.010305085,0.009762712,0.4094915226475151,other,Lê Bartlett (sống),balanced,Lê Bartlett (sống),Lê Bartlett (sống),fruit,Trái cây,sống,true,false,false,63.36,158,1 phần trái cây,100.1,0.6,0.3,23.9,45,false,raw_ingredient;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746774,"restaurant, chinese, sweet and sour pork",675.0,8.88,13.6,25.5,0.052622222,0.1813333330646913,0.1511111108872428,meat,Thịt chua ngọt,high_calorie,Thịt chua ngọt,Thịt chua ngọt,protein_meat,Đạm - Thịt,,false,false,true,259.92,90,1 phần thịt vừa,233.9,8.0,12.2,22.9,70,false,brand_or_restaurant;calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746776,"milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",89.0,3.43,0.08,4.92,0.154157302,0.008089888,0.2211235930210832,dairy,Sữa không béo (không béo),balanced,Sữa không béo (không béo),Sữa không béo (không béo),dairy,Sữa,,false,false,false,34.12,250,1 ly/hộp,85.3,8.6,0.2,12.3,80,true,calories_column_not_per_100g,Sữa không béo (không béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
746777,"sauce, salsa, ready-to-serve",75.5,1.44,0.19,6.74,0.07629139,0.022649006,0.3570860879856147,other,Sốt salsa,balanced,Sốt salsa,Sốt salsa,other,Khác,,false,false,false,34.43,150,1 phần vừa,51.6,2.2,0.3,10.1,70,false,calories_column_not_per_100g,,Không dùng ảnh/món này cho thực đơn cho đến khi kiểm duyệt
746778,"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",129.5,3.36,1.9,4.9,0.1037837829823646,0.1320463310266692,0.15135135,dairy,Sữa ít béo (giảm béo),balanced,Sữa ít béo (giảm béo),Sữa ít béo (giảm béo),dairy,Sữa,,false,false,false,50.14,250,1 ly/hộp,125.3,8.4,4.8,12.2,80,true,calories_column_not_per_100g,Sữa ít béo (giảm béo),"Ảnh món đã chế biến, khớp tên món và nguyên liệu chính"
